Gis_X,Gis_Y,Distrito,Barrio,Número de Plazas,Longitud,Latitud,Direccion
"441336,7","4471161,52",2  ARGANZUELA,02-04 LEGAZPI,24,-3.6911834,40.3889853,"SODIO, CALLE, DEL, 1 B"
"439149,84","4473225,71",2  ARGANZUELA,02-01 IMPERIAL,24,-3.7171449,40.4074236,"IMPERIAL, PASEO, 20"
"439751,68","4478101,98",6  TETUÁN,06-01 BELLAS VISTAS,24,-3.7105146,40.451395,"FRANCISCO BALSEIRO, CALLE, DE, S/N"
"441220,07","4478625,73",6  TETUÁN,06-02 CUATRO CAMINOS,24,-3.6932474,40.4562183,"SAN GERMÁN, CALLE, DE, 5"
"439975,8","4478692,91",6  TETUÁN,06-06 BERRUGUETE,24,-3.7079276,40.4567345,"FRANCOS RODRIGUEZ, CALLE, DE, 62"
"443939,09","4476439,76",4  SALAMANCA,04-04 GUINDALERA,24,-3.6609886,40.4367138,"BRASILIA, AVENIDA, DE, frente al 9"
"443363,99","4476559,86",4  SALAMANCA,04-04 GUINDALERA,24,-3.6677796,40.4377568,"CAMILO JOSE CELA, AVENIDA, DE, 23"
"443778,78","4476746,49",4  SALAMANCA,04-04 GUINDALERA,24,-3.6629058,40.4394662,"BRUSELAS, AVENIDA, DE, 56"
"443165,91","4476273,63",4  SALAMANCA,04-04 GUINDALERA,24,-3.6700894,40.4351648,"CARTAGENA, CALLE, DE, 38"
"439144,97","4476825,45",7  CHAMBERÍ,07-06 VALLEHERMOSO,24,-3.7175468,40.4398513,"ISAAC PERAL, CALLE, DE, 44"
"439767,36","4476444,58",7  CHAMBERÍ,07-02 ARAPILES,24,-3.7101726,40.4364656,"GALILEO, CALLE, DE, 63"
"440693,2","4476388,4",7  CHAMBERÍ,07-03 TRAFALGAR,24,-3.699252,40.436026,"SANTA ENGRACIA, CALLE, DE, 87"
"441238,82","4476643,99",7  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.692843,40.4383672,"ZURBANO, CALLE, DE, 90"
"441694,11","4480631,92",8  FUENCARRAL-EL PARDO,08-05 LA PAZ,24,-3.6878414,40.4743243,"SINESIO DELGADO, CALLE, DE, 2"
"441914,27","4481195,42",5  CHAMARTÍN,05-06 CASTILLA,24,-3.6852959,40.4794159,"CASTELLANA, PASEO, DE LA, frente al 298"
"441812,82","4476911,24",5  CHAMARTÍN,05-01 EL VISO,24,-3.6861,40.4408151,"SERRANO, CALLE, DE, 113 b"
