identificador,gis_x,gis_y
http://www.group10.org/pl/resource/Location/L413,440523.3,4473431.93
http://www.group10.org/pl/resource/Location/L414,440520.34,4473460.6
http://www.group10.org/pl/resource/Location/L415,440519.08,4473417.36
http://www.group10.org/pl/resource/Location/L416,440670.99,4473484.16
http://www.group10.org/pl/resource/Location/L417,440642.65,4473450.21
http://www.group10.org/pl/resource/Location/L418,440613.88,4473410.67
http://www.group10.org/pl/resource/Location/L419,439915.65,4473138.56
http://www.group10.org/pl/resource/Location/L420,439918.53,4473123.6
http://www.group10.org/pl/resource/Location/L421,439925.22,4473088.56
http://www.group10.org/pl/resource/Location/L422,439819.65,4473120.16
http://www.group10.org/pl/resource/Location/L423,439809.33,4473123.44
http://www.group10.org/pl/resource/Location/L424,439846.47,4473138.85
http://www.group10.org/pl/resource/Location/L425,439855.6,4473137.67
http://www.group10.org/pl/resource/Location/L426,439894.37,4473148.66
http://www.group10.org/pl/resource/Location/L427,439894.01,4473152.31
http://www.group10.org/pl/resource/Location/L428,439870.26,4473145.89
http://www.group10.org/pl/resource/Location/L429,440478.1,4473865.61
http://www.group10.org/pl/resource/Location/L430,440474.16,4473835.56
http://www.group10.org/pl/resource/Location/L431,439692.94,4473229
http://www.group10.org/pl/resource/Location/L432,439686.95,4473224.44
http://www.group10.org/pl/resource/Location/L433,439765.6,4473231.11
http://www.group10.org/pl/resource/Location/L434,439723.49,4473225.76
